stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,1498,2024-07-22T04:22:00.326+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,2,2024-07-22T04:19:01.377+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,2994,2024-07-22T04:21:00.518+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,4490,2024-07-22T04:25:00.791+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,5986,2024-07-22T04:27:00.312+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,7482,2024-07-22T04:29:00.488+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,8978,2024-07-22T04:31:00.625+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,10474,2024-07-22T04:35:00.522+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,11970,2024-07-22T04:37:01.327+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,13466,2024-07-22T04:39:00.436+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,14962,2024-07-22T04:41:00.336+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,16458,2024-07-22T04:43:01.281+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,17954,2024-07-22T04:45:01.442+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,19450,2024-07-22T04:49:00.335+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
9020,Toudouze - Clauzel,48.8792959173,2.3373600841,Paris,20946,2024-07-22T04:51:01.555+02:00,2,1,2024-07-22T03:50:18+02:00,3,18,21,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,3,2024-07-22T04:19:01.377+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,1499,2024-07-22T04:22:00.326+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,4491,2024-07-22T04:25:00.791+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,5987,2024-07-22T04:27:00.312+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,7483,2024-07-22T04:29:00.488+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,8979,2024-07-22T04:31:00.625+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,10475,2024-07-22T04:35:00.522+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,11971,2024-07-22T04:37:01.327+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,13467,2024-07-22T04:39:00.436+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,14963,2024-07-22T04:41:00.336+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,16459,2024-07-22T04:43:01.281+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,17955,2024-07-22T04:45:01.442+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,19451,2024-07-22T04:49:00.335+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,20947,2024-07-22T04:51:01.555+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,4,2024-07-22T04:19:01.377+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
